show_id,titulo,tipo,plataforma,director,elenco,pais,fecha_agregado,anio_lanzamiento,clasificacion,duracion,genero,descripcion,puntaje
prime_s3022,Blue Hawaii,Movie,Prime Video,Norman Taurog,"Elvis Presley, Joan Blackman, Angela Lansbury, Nancy Walters, Roland Winters",,,1961,PG,101.0,Arts,"After arriving back in Hawaii from the Army, Chad Gates (Elvis Presley) defies his parents' wishes for him to work at the family business and instead goes to work as a tour guide at his girlfriend's agency.",
hbomax_tm257,A Woman of Paris: A Drama of Fate,Movie,HBO Max,Charlie Chaplin,"Edna Purviance, Clarence Geldart, Carl Miller, Lydia Knott",US,1923-01-01,1923,,78.0,drama,"When Marie St. Clair believes she has been jilted by her artist fiance Jean, she decides to leave for Paris on her own. After spending a year in the city as a mistress of the wealthy Pierre Revel, she is reunited with Jean by chance. This leaves her with the choice between a glamorous life in Paris, and the true love she left behind.",6.9
hbomax_tm192569,Princess Mononoke,Movie,HBO Max,Hayao Miyazaki,"Youji Matsuda, Yuriko Ishida, Yūko Tanaka, Kaoru Kobayashi",JP,1997-01-01,1997,PG-13,134.0,action,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",8.4
hbomax_tm100035,Captain Kidd's Kids,Movie,HBO Max,Hal Roach,"Harold Lloyd, Bebe Daniels, Harry 'Snub' Pollard, Fred C. Newmeyer",US,1919-01-01,1919,,20.0,comedy,"After a wild bachelor party, our hero finds himself aboard a sailing vessel where he encounters numerous adventures. In a dream sequence, he fantasizes that the ship is seized by a band of female pirates.",
hbomax_tm114838,The Fly,Movie,HBO Max,David Cronenberg,"Jeff Goldblum, Geena Davis, John Getz, Joy Boushel",CA,1986-01-01,1986,R,96.0,horror,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.",7.6
disney_tm58414,Water Birds,Movie,Disney+,Ben Sharpsteen,Winston Hibler,US,1952-01-01,1952,,30.0,documentation,"Water Birds is a 1952 short documentary film directed by Ben Sharpsteen. The film delves into the still waters of lagoons and marshes to the wild blue wilderness of the vast oceans, to experience the beauty and variety of their majestic birds, each perfectly designed for its habitat. It won the Oscar for Best Short Subject, Two-Reel.",
netflix_s1056,Zoot Suit,Movie,Netflix,Luis Valdez,"Daniel Valdez, Edward James Olmos, Charles Aidman, Tyne Daly, John Anderson, Abel Franco, Mike Gomez, Francis X. McCarthy, Alma Martínez, Lupe Ontiveros, Tony Plana",United States,2021-04-15,1981,R,103.0,Cult Movies,"In this drama based on a 1940s trial, the members of a Mexican American gang are sentenced to San Quentin for a murder they may not have committed.",
netflix_s6035,A Family Man,Movie,Netflix,Mark Williams,"Gerard Butler, Gretchen Mol, Alison Brie, Willem Dafoe, Alfred Molina, Maxwell Jenkins, Anupam Kher, Dustin Milligan",Canada,2019-12-15,2016,R,110.0,Dramas,A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.,
netflix_s4569,Happy Go Lucky,Movie,Netflix,Amarpreet G S Chabbra,"Amrinder Gill, Harish Verma, Sumeet Sandhu, Gurpreet Guggi, B.N. Sharma, Praneet Bhatt, Kuldeep Sharma",India,2018-10-01,2014,TV-14,129.0,Comedies,"Three sisters seem to be ideal brides for three brothers. But when the girls' father won't allow the marriages, the boys use trickery to pull it off.",
prime_s3284,American Experience: The Race Underground,Movie,Prime Video,Michael Rossi,Michael Murphy,,,2017,13+,54.0,Documentary,"In the late 19th century, as America's teeming cities grew increasingly congested, the time had come to replace the nostalgic horse-drawn trolleys with a faster, cleaner, safer, and more efficient form of transportation. Based in part on Doug Most's acclaimed non-fiction book of the same name, The Race Underground tells the dramatic story of an invention that changed the lives of millions.",
prime_s1617,Moone Boy,TV Show,Prime Video,,"Chris O'Dowd, Steve Coogan, Johnny Vegas, David Rawle",,,2015,TV-14,3.0,Comedy,The third season of the hilariously funny and warm comedy based on Chris O' Dowd's life growing up in 1980's Ireland.,
hbomax_tm228664,The Leisure Class,Movie,HBO Max,Jason Mann,"Ed Weeks, Bridget Regan, Tom Bell, Melanie Zanetti",US,2015-01-01,2015,,81.0,comedy,A man attempts to marry into a wealthy family.,3.9
prime_s4802,Tall Tales from the Magical Garden of Antoon Krings,Movie,Prime Video,"Arnaud Bouron, Antoon Krings","Kate Mara, Justin Long",,,2019,PG,88.0,Kids,"When his beloved Queen bee Marguerite (Kate Mara) is kidnapped, vagabond cricket Apollo (Justin Long) who has been framed for the crime, teams up with the other bugs to save the Queen and the entire kingdom!",
netflix_s7497,Monster High: Ghouls Rule,Movie,Netflix,"Mike Fetterly, Steve Sacks","Laura Bailey, Hank Banks, Cam Clarke, Erin Fitzgerald, Dee Dee Green, Kate Higgins, Andrew Duncan",United States,2018-03-01,2012,TV-Y7,71.0,Children & Family Movies,"After learning that monsters and ""Normies"" used to spend Halloween together, Frankie Stein and her pals rally both groups for a frightfully good time.",
hbomax_tm54582,The Prince of Magicians,Movie,HBO Max,Georges Méliès,Georges Méliès,FR,1901-01-01,1901,,2.0,comedy,"A magician does tricks with the aid of his assistant, the Human Pump.",
prime_s7681,Sankarabharanam,Movie,Prime Video,Uday Nandanavanam,"Nikhil Siddharth, Nanditha Raj, Anjali",,,2015,13+,153.0,Comedy,"When a man from America goes to India to sell a palace he inherited, he is kidnapped and passed from gang to gang for an increasing ransom.",
disney_tm126783,One Magic Christmas,Movie,Disney+,Phillip Borsos,"Mary Steenburgen, Gary Basaraba, Elisabeth Harnois, Arthur Hill",US,1985-01-01,1985,G,88.0,fantasy,"Ginny Grainger, a young mother, rediscovers the joy and beauty of Christmas, thanks to the unshakable faith of her six-year-old daughter Abbie and Gideon, Ginny's very own guardian angel.",6.4
prime_s1766,MAGICAL GIRL SITE,TV Show,Prime Video,,"Yūko Ōno, Himika Akaneya, Aina Suzuki, Yū Serizawa, Haruka Yamazaki",,,2018,NR,1.0,TV Shows,"It seems only the unfortunate can stumble across this site.That is why they were chosen.Without any place to call her own, Aya only thinks about dying.Bullied at school and abused by her own brother at home.",
prime_s8728,Act 5 - Series 1,TV Show,Prime Video,,1,,2021-09-17,2021,ALL,3.0,Action,1,
hbomax_tm189175,Fantastic Planet,Movie,HBO Max,René Laloux,"Gérard Hernandez, Jean Valmont, Jennifer Drake, Yves Barsacq",FR,1973-01-01,1973,PG,72.0,animation,"On the planet Ygam, the Draags, extremely technologically and spiritually advanced blue humanoids, consider the tiny Oms, human beings descendants of Terra's inhabitants, as ignorant animals. Those who live in slavery are treated as simple pets and used to entertain Draag children; those who live hidden in the hostile wilderness of the planet are periodically hunted and ruthlessly slaughtered as if they were vermin.",7.7
prime_s3026,Blood On The Sun,Movie,Prime Video,Frank Lloyd,Peng Tien,,,1974,R,94.0,Action,"Based on a true story, James Cagney stars as an American reporter in pre-war Japan in this riveting, brutal, action-packed film tracing the unintended unveiling of the dreaded Tanaka Plan for Japanese world domination. Cagney, given a purloined copy of the plan, is pursued by a beautiful Japanese secret agent (Sylvia Sidney) sent to romance and ensnare him before he can get it to the American Embassy and into the world press.",
